date,Close,High,Low,Open,Volume,stock,RSI,SMA_20,SMA_50,Momentum_10d,sentimiento_medio,num_noticias,score,score_dca,etiqueta_dca,mensaje_dca,aviso_sentimiento,aporte_precio,aporte_rsi,aporte_sentimiento,score_dca_check
2011-06-03,42.828521728515625,43.00349350171355,42.64059640782466,42.66651339101493,10364900,JNJ,58.365765796129686,42.662539100646974,40.8824585723877,0.41152013101961593,0.0,0.0,20.41,-19.52,Descuento moderado,"El precio está por debajo de su media reciente, posible oportunidad.",,-9.520284366861986,-10.0,0.0,-19.52
2011-06-06,42.80258941650391,42.91275385996686,42.66649811093163,42.685943257513614,8397400,JNJ,57.94607601148601,42.7059965133667,40.98002082824707,1.4200690840510788,0.0,0.0,21.42,-18.89,Descuento moderado,"El precio está por debajo de su media reciente, posible oportunidad.",,-8.894912942555493,-10.0,0.0,-18.89
2011-06-07,42.446170806884766,42.95163586665876,42.446170806884766,42.77018737792969,10426800,JNJ,52.371996524137835,42.72006969451904,41.07109725952149,0.7750078182758191,0.0,0.0,0.78,-6.7,Neutral,El precio está en línea con su comportamiento habitual.,,-6.696064332902604,0.0,0.0,-6.7
2011-06-08,42.86092758178711,42.9192531572253,42.23881612702643,42.43970489376412,10020300,JNJ,57.49586642336088,42.75070381164551,41.167127990722655,1.4193995985191776,0.0,0.0,21.42,-18.23,Descuento moderado,"El precio está por debajo de su media reciente, posible oportunidad.",,-8.228893652460604,-10.0,0.0,-18.23
2011-06-09,43.2756462097168,43.59966273413109,42.88034565440338,42.984033315383854,14054500,JNJ,61.90859710945906,42.77605514526367,41.27171028137207,1.612879099543596,0.0,0.0,21.61,-19.71,Descuento moderado,"El precio está por debajo de su media reciente, posible oportunidad.",,-9.710942021461115,-10.0,0.0,-19.71
2011-06-10,42.828521728515625,43.21086397595036,42.828521728515625,43.08773605733716,9312900,JNJ,55.24883153544679,42.759133911132814,41.36529403686524,0.8853767314789263,0.0,0.0,20.89,-17.07,Neutral,El precio está en línea con su comportamiento habitual.,,-7.074663559003557,-10.0,0.0,-17.07
2011-06-13,43.15251541137695,43.3922894030005,42.93866827733376,42.97754867550535,8146200,JNJ,58.71458311887987,42.77672157287598,41.46702812194824,-0.26961703748339394,0.0,0.0,19.73,-18.13,Descuento moderado,"El precio está por debajo de su media reciente, posible oportunidad.",,-8.12928905573822,-10.0,0.0,-18.13
2011-06-14,43.483009338378906,43.651499287332754,43.256198797921215,43.38580340844019,11389100,JNJ,61.951573277459204,42.81886520385742,41.57228820800781,-0.2824139388945546,0.8775522708892822,1.0,46.04,-19.19,Descuento moderado,"El precio está por debajo de su media reciente, posible oportunidad.",,-9.192282709148753,-10.0,0.0,-19.19
2011-06-15,42.87387466430664,43.418220125548274,42.58225678655536,43.418220125548274,12623500,JNJ,53.60871903038121,42.82958850860596,41.656885375976564,-0.48138335222029927,-0.3898662328720093,2.0,7.82,-5.84,Neutral,El precio está en línea con su comportamiento habitual.,,-5.842920215210863,0.0,0.0,-5.84
2011-06-16,42.977569580078125,42.99700978861976,42.42674224695692,42.57578714184407,11683900,JNJ,54.72644599827201,42.842284202575684,41.74805374145508,-0.24068724878233416,0.0,1.0,19.76,-5.89,Neutral,El precio está en línea con su comportamiento habitual.,,-5.890170814847622,0.0,0.0,-5.89
2011-06-17,42.9581184387207,43.38581775009315,42.8933161120401,43.17844733825487,14336400,JNJ,54.461376176300774,42.8575403213501,41.840631561279295,0.30259440432376383,-0.8118480443954468,1.0,-4.05,-5.34,Neutral,El precio está en línea con su comportamiento habitual.,,-5.341634845089515,0.0,0.0,-5.34
2011-06-20,43.10068893432617,43.249733799616976,42.815552748064285,42.82203446432502,9309200,JNJ,56.13831643483563,42.90241107940674,41.938373489379885,0.6964520649008099,0.0,1.0,20.7,-15.54,Neutral,El precio está en línea con su comportamiento habitual.,,-5.542968638212076,-10.0,0.0,-15.54
2011-06-21,43.08774185180664,43.25623192981462,42.87389457506498,43.10718206386472,9811500,JNJ,55.93686851886184,42.95081119537353,42.036113586425785,1.5114933402138986,0.0,0.0,21.51,-15.0,Neutral,El precio está en línea con su comportamiento habitual.,,-5.0034514404797195,-10.0,0.0,-15.0
2011-06-22,42.815547943115234,43.17196813594355,42.802589456148894,43.07476217934489,7988100,JNJ,51.73377785644729,42.978534889221194,42.123270187377926,-0.10587647359073804,0.0,0.0,-0.11,-3.29,Neutral,El precio está en línea con su comportamiento habitual.,,-3.2869136354220974,0.0,0.0,-3.29
2011-06-23,42.55632781982422,42.60168993408168,41.92125822021973,42.47208530594597,16234800,JNJ,48.03226969447549,42.97691421508789,42.204214553833005,-1.662178275528714,0.0,1.0,-1.66,-1.67,Neutral,El precio está en línea con su comportamiento habitual.,,-1.6686166048278464,0.0,0.0,-1.67
2011-06-24,42.16103363037109,42.51745382760648,42.01198877996385,42.49153190925296,13186200,JNJ,42.981865059141576,42.96233310699463,42.28162155151367,-1.5585130450582851,0.0,1.0,-1.56,10.57,Sobreprecio moderado,El precio está por encima de su media reciente.,,0.5704034836775064,10.0,0.0,10.57
2011-06-27,42.28417205810547,42.51746443740246,42.12216373604377,42.31009398292754,7199500,JNJ,44.92457853201127,42.913082885742185,42.3560945892334,-2.012265901520427,0.0,0.0,-2.01,10.34,Sobreprecio moderado,El precio está por encima de su media reciente.,,0.33960888899428343,10.0,0.0,10.34
2011-06-28,42.71187973022461,42.84796613807001,42.368417907641074,42.50450431548647,7724600,JNJ,51.15037728703265,42.86836891174316,42.43218338012695,-1.773404416776836,0.0,0.0,-1.77,-1.32,Neutral,El precio está en línea con su comportamiento habitual.,,-1.3183217445683182,0.0,0.0,-1.32
2011-06-29,42.97108459472656,43.152533119452485,42.724833731755886,42.91924569059165,9227000,JNJ,54.50671272779592,42.862860107421874,42.5147412109375,0.226734651768834,0.0,0.0,20.23,-2.15,Neutral,El precio está en línea con su comportamiento habitual.,,-2.1467536708028265,0.0,0.0,-2.15
2011-06-30,43.107177734375,43.35991529805453,42.93221089932238,43.042375385988926,9747200,JNJ,56.2079963841889,42.86415596008301,42.571367263793945,0.3015716234380905,0.0,0.0,20.3,-12.52,Neutral,El precio está en línea con su comportamiento habitual.,,-2.517234023802427,-10.0,0.0,-12.52
2011-07-01,43.61262893676758,43.65150934005744,42.94515070099092,43.081242000705664,9216500,JNJ,61.90589673092264,42.903361320495605,42.61625831604004,1.5236014095461936,0.0,2.0,21.52,-14.68,Neutral,El precio está en línea con su comportamiento habitual.,,-4.676011738705471,-10.0,0.0,-14.68
2011-07-05,43.82001495361328,43.85241365320787,43.58024084492438,43.60616277106118,9773600,JNJ,63.97692368586124,42.95423259735107,42.66940925598144,1.6689432050219999,0.0,1.0,21.67,-15.39,Neutral,El precio está en línea con su comportamiento habitual.,,-5.393117541089679,-10.0,0.0,-15.39
2011-07-06,43.77465057373047,43.90425525366521,43.65800438414855,43.82648947924339,7100400,JNJ,63.167930548947496,43.02065658569336,42.72113899230957,1.5942091472009423,0.0,1.0,21.59,-14.93,Neutral,El precio está en línea con su comportamiento habitual.,,-4.93203882794673,-10.0,0.0,-14.93
2011-07-07,44.014404296875,44.098651758991295,43.67742928070948,43.94960197962392,8415200,JNJ,65.64079151605219,43.07833042144775,42.76687026977539,2.8000490741180384,-0.5753257473309835,3.0,5.54,-35.83,Descuento fuerte,El precio está entre los momentos de mayor descuento de su historial.,Atención: sentimiento de noticias muy negativo en este periodo.,-5.834114206768507,-10.0,-20.0,-35.83
2011-07-08,43.78759765625,44.05977037966571,43.54134685088821,43.943124220473216,7866100,JNJ,61.43847196483607,43.10392799377441,42.8000991821289,2.893270870641751,0.0,2.0,22.89,-14.61,Neutral,El precio está en línea con su comportamiento habitual.,,-4.614468157744011,-10.0,0.0,-14.61
2011-07-11,43.59318923950195,43.68391843201824,43.30805800623909,43.340456698329945,8918900,JNJ,58.01028689938069,43.14216136932373,42.83188110351563,3.396870251537676,0.0,0.0,23.4,-13.55,Neutral,El precio está en línea con su comportamiento habitual.,,-3.5548666851516724,-10.0,0.0,-13.55
2011-07-12,43.43766021728516,43.85888274355746,43.30805556801697,43.35341768967088,10528700,JNJ,55.34945017764754,43.15641860961914,42.8561833190918,2.7279431121286057,0.2569049596786499,2.0,30.44,-12.71,Neutral,El precio está en línea con su comportamiento habitual.,,-2.7136196140654736,-10.0,0.0,-12.71
2011-07-13,43.826473236083984,44.05328875805886,43.55430054263388,43.67094668898389,9031700,JNJ,60.257233165310474,43.1735918045044,42.881965713500975,2.609563224328526,-0.7007013559341431,2.0,1.59,-34.41,Descuento fuerte,El precio está entre los momentos de mayor descuento de su historial.,Atención: sentimiento de noticias muy negativo en este periodo.,-4.4051503090756885,-10.0,-20.0,-34.41
2011-07-14,43.84591293334961,44.0208796590877,43.72278508747147,43.80702759333067,9636500,JNJ,60.491056226403295,43.22219371795654,42.90749450683594,2.0358535207426476,0.0,1.0,22.04,-14.37,Neutral,El precio está en línea con su comportamiento habitual.,,-4.374146928407409,-10.0,0.0,-14.37
2011-07-15,43.70983505249024,44.033851635367405,43.41174038953532,43.89128849194603,10245100,JNJ,57.9221024850308,43.258806991577146,42.93788291931153,1.3980440144534478,-0.0181599259376525,5.0,20.85,-13.6,Neutral,El precio está en línea con su comportamiento habitual.,,-3.595669281735945,-10.0,0.0,-13.6
2011-07-18,43.47653579711914,43.64502577774487,43.12660229411941,43.52837962871165,10361000,JNJ,53.71061297051286,43.28472785949707,42.97208564758301,-0.3120498419064699,0.0,1.0,19.69,-2.35,Neutral,El precio está en línea con su comportamiento habitual.,,-2.347803891452526,0.0,0.0,-2.35
